SEQ_Number,Parcel,Face Amount
000286,R307250,137.46
000290,R307255,137.46
000292,R307257,137.46
000294,R307259,137.46
000296,R307264,137.46
000298,R307266,137.46
000300,R307268,137.46
000302,R307270,137.46
000303,R307271,137.46
000305,R307273,137.46
000306,R307274,137.46
000307,R307275,137.46
000309,R307282,137.46
000310,R307283,137.46
000311,R307284,137.46
000313,R307286,137.46
000316,R307289,137.46
000317,R307290,137.46
000318,R307291,137.46
000319,R307292,137.46
000320,R307293,137.46
000321,R307294,137.46
000322,R307295,137.46
000323,R307296,137.46
000324,R307297,137.46
000326,R307301,137.46
000327,R307305,137.46
000328,R307306,137.46
000329,R307307,137.46
000330,R307308,137.46
000331,R307309,137.46
000332,R307310,137.46
000333,R307311,137.46
000334,R307312,137.46
000336,R307314,137.46
000338,R307316,137.46
000340,R307318,137.46
000342,R307320,137.46
000344,R307322,137.46
000346,R307324,137.46
000348,R307326,137.46
000352,R307330,138.52
000359,R303445,135.15
000361,R303447,135.15
000362,R303448,135.15
000364,R303450,135.15
000365,R303451,135.15
000366,R303452,135.15
000368,R303454,135.15
000369,R303455,135.15
000370,R303456,135.15
000372,R303458,135.15
000373,R303459,135.15
000376,R303462,135.15
