ACCOUNTNO	NAMEADDRID	NAMETYPE	NAME	CAREOF	ADDRESS1	ADDRESS2	CITY	STATE	ZIPCODE	PARCELNB	MHSPACE	PARCELSEQ	AREAID	ACCTTYPE	BUSINESSNAME	MAPNO	BORDERINGCOUNTY	BACODE	LAGENT	STREETNO	EXTENT	DIRECTION	STREETNAME	DESIGNATION	DIRECTIONSUFFIX	SUFFIX	UNITNUMBER	LOCCITY	ZIPCODE	LEGAL	APRDIST	BA_OWNER_ID	BA_LOCATION	LANDSQFT	SUBCODE	SUBNAME	CONDOCODE	CONDONAME	SALEP	SALEDT	DOCFEE	DEEDTYPE	BLOCK	LOT	CONDOUNIT	BOOK	PAGE	RECEPTION_NO	MILL_LEVY	CLASSCD1	CLASSCD1_DESC	CLASSCD2	CLASSCD2_DESC	CLASSCD3	CLASSCD3_DESC	CLASSCD4	CLASSCD4_DESC	CLASSCD5	CLASSCD5_DESC	TAXYEAR	LANDACT	IMPACT	LANDASD	IMPASD	ACRES	SQFT	UNITS	CUR_TAX	CUR_FEE	CUR_INT	CUR_PAY	CUR_BAL	LST_TAX	LST_FEE	LST_INT	LST_PAY	LST_BAL
M035100			FRASER VALLEY METRO REC DISTRICT			PO BOX 3348	WINTER PARK	CO	80482-3348	000000000000		M035100	030					00000										FRASER		 Subd: FAIRWAYS AT POLE CREEK PH 1 & OPEN SPACE GULF COURSE PARCEL 3 SERIAL: SHJU1253-2331 YEAR: 1983 MAKE: BONNEVILLE SIZE: 12 X 50 				0	2229	FAIRWAYS AT POLE CREEK PH 1 & OPEN SPACE													61.288000	9249	POLITICAL SUBDIVISIONS									2015	0	10100	0	2930	0	0	0										
N302484			GRANBY REALTY HOLDINGS LLC			PO BOX 1110	GRANBY	CO	80446-1110			N302484	024					05120										GRANBY	80446	 Subd: GRAVEL PRODUCTION 32.36 PERMITTED ACRES GRAVEL PRODUCTION IN NW4NE4 SEC 9 T1N R76W OPERATOR OVERLOOK MINE				0.00	9960	GRAVEL PRODUCTION													56.486000	5120	GRAVEL PRODUCITON									2015	14180	0	4110	0	0	0	0										
N016700			LOCH-N-VALE LTD LIABILITY CO			3921 COUNTY ROAD 3	PARSHALL	CO	80468-8803	144531200073		N016700	010					05120												 Subd: GRAVEL PRODUCTION 9.95AC GRAVEL PRODUCTION IN W2W2 SEC 31 T1N R78 PARTIALLY DESC AT REC #99005413				0.00	9960	GRAVEL PRODUCTION			0	07/20/2010		RES						2010008264	45.846000	5120	GRAVEL PRODUCITON									2015	44150	0	12800	0	0	0	0										
N086331			EVANS, KENNETH J &		E H INTERNATIONAL LLC	11764 BELL CROSS CIR	PARKER	CO	80138-8760	132931200017		N086331	040					05120												 Subd: GRAVEL PRODUCTION 62.122 AC DESC AT REC 2010010153 LOCATED WITHIN RECLAMATION RIDGE MINOR SUB PARCEL 1 (FKA THOMPSON PIT) 				0.00	9960	GRAVEL PRODUCTION			0	03/02/2011		B_S						2011001738	56.486000	5120	GRAVEL PRODUCITON									2015	37930	0	11000	0	0	0	0										
R000582			KREMMLING SANITATION DISTRICT			PO BOX 538	KREMMLING	CO	80459-0538	144118103005		R000582	015															KREMMLING		 Subd: DIETRICH ADDITION TO KREMMLING Lot: 6 - 8 Block: 3 THE NORTH 56.5FT OF LOTS 6-8 AKA PARCEL 3 	6			0.00	605	DIETRICH ADDITION TO KREMMLING							3	6 - 8					66.864000	9199	ALL OTHER LAND									2015	10	0	10	0	0	0	0										
R005574			GRAND COUNTY		BOARD OF COUNTY COMMISSIONERS	PO BOX 264	HOT SULPHUR SPRINGS	CO	80451-0264	159509303006		R005574	010																	 Subd: KONRADE SUB EXEMPTION CO RD 373 ROW 	6			0.00	1851	KONRADE SUB EXEMPTION													45.846000	9139	COUNTY LAND									2015	10	0	10	0	0	0	0										
R010382			GRAND COUNTY		BOARD OF COUNTY COMMISSIONERS	PO BOX 264	HOT SULPHUR SPRINGS	CO	80451-0264	144107301003		R010382	014																	 Subd: HAYNES/MENHENNETT OUTRIGHT EXEMP COUNTY ROAD 12 ROW 	6			0.00	1547	HAYNES/MENHENNETT OUTRIGHT EXEMP			0	10/28/1999		QCD							55.389000	9139	COUNTY LAND									2015	10	0	10	0	0	0	0										
R037690			WINTER PARK RECREATION ASSOCIATION			PO BOX 36	WINTER PARK	CO	80482-0036	170515200012		R037690	032					00000		000085			PARSENN	RD				WINTER_PARK	80482	 Subd: WINTER PARK-MARY JANE IMP WINTER PK/MARYJANE SKI AREA	1			0.00	3010	WINTER PARK-MARY JANE IMP													63.864000	9245	POLITICAL SUB REC	9145	POLITICAL SUB RECREATION							2015	1963200	33199100	569330	9627740	0	0	0										
R064930			DENVER, CITY & COUNTY		BOARD OF WATER COMMISSIONERS	1600 W 12TH AVE	DENVER	CO	80204-3412	170510300001		R064930	032					00000										WINTER_PARK		 Subd: WINTER PARK-IMPROVEMNT ONLY 	1			0	402	WINTER PARK-IMPROVEMNT ONLY													63.864000	9239	COUNTY BUILDINGS									2015	0	6787930	0	1968500	0	0	0										
R091700			GRANBY COMMUNITY PRESBYTERIAN CHURCH			PO BOX 153	GRANBY	CO	80446-0153	132931304006		R091700	040					00000										GRANBY		 Subd: FIRST VALLEY ADDITION TO GRANBY Lot: 10 Block: 4 	3			0.00	240	FIRST VALLEY ADDITION TO GRANBY							4	10					56.486000	9259	RELIGIOUS WORSHIP BLDG	9159	RELIGIOUS WORSHIP LAND							2015	3660	28480	1060	8260	0	0	0										
