ACCOUNTNO	NAMEADDRID	NAMETYPE	NAME	CAREOF	ADDRESS1	ADDRESS2	CITY	STATE	ZIPCODE	PARCELNB	MHSPACE	PARCELSEQ	AREAID	ACCTTYPE	BUSINESSNAME	MAPNO	BORDERINGCOUNTY	BACODE	LAGENT	STREETNO	EXTENT	DIRECTION	STREETNAME	DESIGNATION	DIRECTIONSUFFIX	SUFFIX	UNITNUMBER	LOCCITY	ZIPCODE	LEGAL	APRDIST	BA_OWNER_ID	BA_LOCATION	LANDSQFT	SUBCODE	SUBNAME	CONDOCODE	CONDONAME	SALEP	SALEDT	DOCFEE	DEEDTYPE	BLOCK	LOT	CONDOUNIT	BOOK	PAGE	RECEPTION_NO	MILL_LEVY	CLASSCD1	CLASSCD1_DESC	CLASSCD2	CLASSCD2_DESC	CLASSCD3	CLASSCD3_DESC	CLASSCD4	CLASSCD4_DESC	CLASSCD5	CLASSCD5_DESC	TAXYEAR	LANDACT	IMPACT	LANDASD	IMPASD	ACRES	SQFT	UNITS	CUR_TAX	CUR_FEE	CUR_INT	CUR_PAY	CUR_BAL	LST_TAX	LST_FEE	LST_INT	LST_PAY	LST_BAL
N028640			MURPHY MINING & MINERALS, LLC	C/O JAMES LEIGH MURPHY		HC 66 BOX 72	YESO	NM	88136-9703	158912300162		N028640	035					05120												 Subd: GRAVEL PRODUCTION GRAVEL PRODUCTION IN SW4 SEC 12 T1S R76 123.3 PERMITTED ACRES				0.00	9960	GRAVEL PRODUCTION				12/10/2013		RES						2014008486	53.017000	5120	GRAVEL PRODUCITON									2015	402720	0	116790	0	123.3	0	0										
R000003			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144314100052		R000003	014																	 Subd: METES & BOUNDS 79 ALL 3815 +/- W2SW4,SE4SW4 SEC 11 W2NW4,NW4SW4 SEC 13 ALL SEC 14 EXCEPT SE4SE4 ALL SEC 15 S2,S2NE4,NE4NE4,SE4NW4 SEC 16 ALL SEC 17 EXCEPT NW4NW4 S2S2, LOT 3 (NW4SW4) SEC 18 N2SE4,NE4SW4,SE4NW4,N2NE4 SEC 20 N2NW4,NE4 SEC 21 N2,N2SE4 SEC 22 NW4, W2NW4NE4, W2W2SW4NE4, SEC 23 T1N R79W	6			0.00	9070	METES & BOUNDS 79 ALL													55.389000	9119	FEDERAL LAND									2015	10	0	10	0	3815	0	0										
R000015			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	119304300014		R000015	064																	 Subd: METES & BOUNDS 75 ALL 120AC LOTS 5-7 (S2NW4,NE4SW4) SEC 4 T3N R75W	4			0.00	9020	METES & BOUNDS 75 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	120	0	0										
R000007			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144319300054		R000007	010																	 Subd: METES & BOUNDS 79 ALL 240AC +/- SW4 SEC 19 (160AC) N2NW4 SEC 30 (80AC) ALL IN T1N R79W	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	240	0	0										
R000012			DENVER, CITY & COUNTY		BOARD OF WATER COMMISSIONERS	1600 W 12TH AVE	DENVER	CO	80204-3412	144326200034		R000012	010																	 Subd: METES & BOUNDS 79 ALL 381.337 AC+/- 1AC IN SE4SE4SE4 SEC 22 46.4AC IN W2SW4 SEC 25 W2,W2SE4, 64.6AC IN E2SE4 SEC 26. 6AC IN SW4NE4 S2SE4,NE4SE4 & 8.3AC IN NE4SW4 SEC 27 E2NE4,SW4NE4 PT OF SE4NW4, 5AC IN N2S2 SEC 34 105AC IN N2SE4 SEC 34 & IN SW4 SEC 35 E2,SE4NW4,NE4SW4 SEC 35 34.03AC IN W2NW4 7.01AC IN E2NW4 39.7AC IN NE4SW4 31.49AC IN NW4SE4 8.07AC IN NE4SE4 39.6AC IN SE4SE4 ALL OF W2SW4,SE4SW4,SW4SE4 SEC 36 ALL IN T1N R79W	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9230	COUNTY EXEMPT RESIDENTIAL	9130	COUNTY EXEMPT RESIDENTIAL							2015	5720	362880	460	28890	381.337	0	0										
R000009			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144335200056		R000009	010																	 Subd: METES & BOUNDS 79 ALL 120 AC+/- N2NW4,SW4NW4 SEC 35 T1N R79	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	120	0	0										
R000017			UNITED STATES OF AMERICA		USDI, NATIONAL PARK SERVICE - RMNP	PO BOX 25287	DENVER	CO	80225-0287	119315300001		R000017	064																	 Subd: METES & BOUNDS 75 ALL 18,681.88AC OF ROCKY MOUNTAIN NATIONAL PARK SEC 15 T3N R75W	4			0.00	9020	METES & BOUNDS 75 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	18681.88	0	0										
R000021			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	118925300005		R000021	066																	 Subd: METES & BOUNDS 77 ALL 127.66AC S2SW4,SW4SE4 SEC 25 T3N R77	5			0.00	9050	METES & BOUNDS 77 ALL													49.073000	9119	FEDERAL LAND									2015	10	0	10	0	127.66	0	0										
R000005			MENHENNETT, TIMOTHY XAVIER &	MENHENNETT, PAUL EDWARD &, et al.		PO BOX 416	KREMMLING	CO	80459-0416	000000000000		R000005	014																	 Subd: SEVERED MINERAL RIGHTS 600AC NW4, N2SW4 SEC 28T 2N R80, E2NE4,SW4NE4,SE4 SEC 29 T2N R80, N2NE4 SEC 32 T2N R80 	6			0.00	9920	SEVERED MINERAL RIGHTS			0	04/21/2003		QCD						2003-005505	55.389000	5170	SEVERED MINERAL INTEREST									2015	3600	0	1040	0	600	0	0										
R000025			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	118910200001		R000025	021																	 Subd: METES & BOUNDS 77 ALL ALL SEC 1-19, 29-32, W2,NE4,NW4SE4,N2SW4SE4 SW4SW4SE4,E2SE4SE4,SE4NE4SE4 SEC 22, E3/4, S2SW4, S2N2SW4, N2NE4SW4, N2NW4NW4, SW4NW4NW4, NE4NW4SW4 SEC 23 ALL T3N R77W	5			0.00	9050	METES & BOUNDS 77 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	15890	0	0										
R000029			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	118933200025		R000029	003																	 Subd: METES & BOUNDS 77 ALL 440AC +/- SW4SW4 SEC 28 & W2,SW4NE4,NW4SE4 SEC 33 T3N R77W	5			0.00	9050	METES & BOUNDS 77 ALL													53.535000	9119	FEDERAL LAND									2015	10	0	10	0	440	0	0										
R000022			UNITED STATES OF AMERICA				WASHINGTON	DC	20013	145321200025		R000022	035																	 Subd: METES & BOUNDS 75 ALL 160AC NW4 SEC 21 T1N R75	1			0.00	9020	METES & BOUNDS 75 ALL													53.017000	9119	FEDERAL LAND									2015	10	0	10	0	160	0	0										
R000008			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144333100055		R000008	010																	 Subd: METES & BOUNDS 79 ALL 1560 +/- ALL SEC 33 SW4NW4,E2SW4,SE4SW4,NE4, N2SE4,SE4SE4 SEC 32,S2SW4 SEC 27 N2NW4,SW4NW4, SEC 34 NW4,NW4SW4 (LOT 3), SE4 SEC 31 T1N R79W	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	1560	0	0										
R000006			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144303300051		R000006	014																	 Subd: METES & BOUNDS 79 ALL 2160 AC +/- SW4,W2SE4,NE4SE4 SEC 3 (280AC) SE4, LOT 4 (NW4NW4) SEC 4 (200AC) N2,SW4,NW4SE4 SEC 5 (520AC) E2,E2SW4,SW4SW4 SEC 6(440AC) NW4,N2NE4,SW4NE4 SEC 7 (280AC) N2N2 SEC 8 (160AC) W2NW4,SE4NW4,NE4 SEC 9 (280AC) ALL T1N R79W	6			0.00	9070	METES & BOUNDS 79 ALL													55.389000	9119	FEDERAL LAND									2015	10	0	10	0	2160	0	0										
R000028			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	118936300040		R000028	003																	 Subd: METES & BOUNDS 77 ALL 640AC+/- ALL SEC 36 T3N R77W	5			0.00	9050	METES & BOUNDS 77 ALL													53.535000	9119	FEDERAL LAND									2015	10	0	10	0	640	0	0										
R000135			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144912200002		R000135	038																	 Subd: METES & BOUNDS 76 ALL 308.7AC+/- LOT 15 & 16 SEC 1 T1N R76 1/2, LOT 1-6, LOT 11-12 SEC 12 T1N R76 1/2	3			0.00	9030	METES & BOUNDS 76 ALL													49.073000	9119	FEDERAL LAND									2015	10	0	10	0	308.7	0	0										
R000074			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	184502400001		R000074	010																	 Subd: METES & BOUNDS 78 ALL 3065AC SEC 1, LESS PT OF LOT 3 EX SURV 365 SEC 2,3,11,12,13,24,25 & NE PT OF SEC 36 ALL T3S R78	6			0.00	9060	METES & BOUNDS 78 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	3065	0	0										
R000059			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	118530100001		R000059	010																	 Subd: METES & BOUNDS 79 ALL 200AC+/- N2NE4, SE4NE4, E2SE4 SEC 30 T3N R79	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	200	0	0										
R000137			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	133310200001		R000137	114																	 Subd: METES & BOUNDS 78 ALL 8960AC+/- ALL SEC 1-11, 16-18 T2N R78	5			0.00	9060	METES & BOUNDS 78 ALL													39.801000	9119	FEDERAL LAND									2015	10	0	10	0	8960	0	0										
R000125			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	132710100001		R000125	064																	 Subd: METES & BOUNDS 75 ALL 15,791.32AC +/- ALL SEC 1-4,10-13,19,20, ALL SEC 24,25,33-36, E2,SW4 SEC 5 N2 SEC 9 E2,NW4,E2NE4SW4, NW4NE4SW4 SEC 14 W2, SE4 SEC 21 S2 SEC 22 NE4NE4 SEC 23 E2,E2NW4,E2SW4,SW4SW4 SEC26 SW4,W2NW4,SE4NW4,SW4NE4, W2SE4,SE4SE4 SEC 27 ALL SEC 28,29,32 EXCEPT TR B (133.88AC) AND A 40AC TR(NW4SW4 SEC 32) E2,NW4,E2SW4,E2NW4SW4 SEC30 NE4NW4,E2NE4,NW4NE4, N2SW4NE4 SEC 31 ALL T2N R75	4			0.00	9020	METES & BOUNDS 75 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	15791.32	0	0										
R000096			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	145310200003		R000096	035																	 Subd: METES & BOUNDS 75 ALL 16323.5AC ALL SEC 2-7,10,16,18-20, ALL SEC 22-24,27-30,32,36 SEC 1 LESS MINING CLAIM N2,SW4,N2SE4,SW4SE4 SEC 8 N2,SE4,N2SW4 SEC 9 N2,SW4 SEC 11 W2,SE4,W2NE4 SEC 12 S2 SEC 13 E2,SE4NW4,SW4 SEC 14 W2,E2SE4,SW4SE4 SEC 15 W2,SE4,W2NE4,SE4NE4 SEC 17 S2 SEC 21 N2,SE4 SEC 25 N2,N2SW4,SW4SW4,NW4SE4 SEC26 N2NW4,N2NE4,S2SW4,S2SE4 OF SEC 33 SW4SW4 SEC 34 ALL T1N R75	1			0.00	9020	METES & BOUNDS 75 ALL													53.017000	9119	FEDERAL LAND									2015	10	0	10	0	16323.5	0	0										
R000066			UNITED STATES OF AMERICA				WASHINGTON	DC	20013	145506400002		R000066	035																	 Quarter: SW S: 6 T: 1N R: 74W 640AC+/- Quarter: SE S: 6 T: 1N R: 74W Quarter: NW S: 7 T: 1N R: 74W Quarter: NE S: 7 T: 1N R: 74W 	1			0.00															53.017000	9119	FEDERAL LAND									2015	10	0	10	0	640	0	0										
R000084			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	158508300001		R000084	035																	 Subd: METES & BOUNDS 74 ALL 5093.73+/-AC ALL SEC 4, 5, 6, 8,17, 20, 28, 29, 32 & 33, E2 SEC 19, , E2 SEC 30, E2 SEC 31, SEC 7 LESS LOT 4, SEC 18 LESS LOTS 1-4 AND LESS W2SE4NW4 T1S R74	1			0.00	9010	METES & BOUNDS 74 ALL													53.017000	9119	FEDERAL LAND									2015	10	0	10	0	4920	0	0										
R000039			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	169711200001		R000039	010																	 Subd: METES & BOUNDS 79 ALL 5254.272AC+/- ALL T2S R79W LESS EX SURV 375 AND TRACT 37 IN SEC 1, 12,13 T2S R79	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	5254.272	0	0										
R000114			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144515200012		R000114	010																	 Subd: METES & BOUNDS 78 ALL 1035AC ALL SEC 15 (LESS A 5AC TR IN SW4) NW4, W2SW4 SEC 22 NE4, N2NW4 SEC 21 ALL T1N R78	6			0.00	9060	METES & BOUNDS 78 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	1035	0	0										
R000031			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	118921200009		R000031	021																	 Subd: METES & BOUNDS 77 ALL 1680AC +/- ALL SEC 21, S2,N2NE4, NE4NW4,SE4NE4 SEC 20 N2,N2SE4 SEC 28, W2NW4,W2E2,NE4NW4,NW4SE4NW4 SEC 27 ALL IN T3N R77W	5			0.00	9050	METES & BOUNDS 77 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	1680	0	0										
R000117			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	133535200034		R000117	014																	 Sixteenth: SE Quarter: SW S: 25 T: 2N R: 79W 1480AC+/- Sixteenth: SW Quarter: SW S: 25 T: 2N R: 79W Sixteenth: NW Quarter: SW S: 25 T: 2N R: 79W Sixteenth: NE Quarter: SE S: 26 T: 2N R: 79W Sixteenth: NW Quarter: SE S: 26 T: 2N R: 79W Sixteenth: SE Quarter: SW S: 26 T: 2N R: 79W Sixteenth: SW Quarter: SW S: 26 T: 2N R: 76W Quarter: NW S: 35 T: 2N R: 79W Quarter: SW S: 35 T: 2N R: 79W Sixteenth: NW Quarter: NE S: 35 T: 2N R: 79W Sixteenth: SW Quarter: SE S: 35 T: 2N R: 79W S: 36 T: 2N R: 79W S: 31 T: 2N R: 78W GOVT LOTS 7,11,12,13 	6			0.00															55.389000	9119	FEDERAL LAND									2015	10	0	10	0	1480	0	0										
R000133			STATE OF COLORADO		BOARD OF LAND COMMISSIONERS	1313 SHERMAN ST ROOM 620	DENVER	CO	80203-2240	145118200047		R000133	046																	 Subd: METES & BOUNDS 76 ALL 160AC N2NW4, SW4NW4, NW4NE4 SEC 18 T1N R76	3			0.00	9030	METES & BOUNDS 76 ALL													49.073000	9129	STATE LAND									2015	10	0	10	0	160	0	0										
R000103			UNITED STATES OF AMERICA				WASHINGTON	DC	20013	133111400018		R000103	003																	 Subd: METES & BOUNDS 77 ALL 160AC+/- E2SE4 SEC 11, NE4NE4 SEC 14, NW4NW4 (LOT 1) SEC 13 T2N R77	5			0.00	9050	METES & BOUNDS 77 ALL													53.535000	9119	FEDERAL LAND									2015	10	0	10	0	160	0	0										
R000121			DENVER, CITY & COUNTY		BOARD OF WATER COMMISSIONERS	1600 W 12TH AVE	DENVER	CO	80204-3412	144324200072		R000121	010																	 Subd: METES & BOUNDS 79 ALL 729.99 AC, SW4SW4 SEC 13, SE4SE4, PT SE4NE4 DESC B/378 P/01 SEC 23 S2 LESS 0.1A DESC B/325 P/952 W2NW4, SE4NW4, S2NE4 LESS PT DESC 93005381 SEC 24 NW4 SEC 25 6.58 AC CO RD ROW DEDUCTED T1N R79	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9139	COUNTY LAND									2015	11560	0	3350	0	770.41	0	0										
R000056			UNITED STATES OF AMERICA				WASHINGTON	DC	20013	170122200001		R000056	010																	 Subd: METES & BOUNDS 77 ALL 21120AC+/- ALL SEC 1-29,32-36, SEC 30,LOT 1, E2E2W2, LOT 2&3, LOT 4 LESS LOT 2 EX SURV 376 T2S R77	6			0.00	9050	METES & BOUNDS 77 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	21120	0	0										
R000051			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	195303300001		R000051	010																	 Subd: METES & BOUNDS 77 ALL 10240AC+/- T4S R77	6			0.00	9050	METES & BOUNDS 77 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	10240	0	0										
R000111			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144527100045		R000111	010																	 Subd: METES & BOUNDS 78 ALL 280AC+/- SE4,S2NE4,NE4NW4 SEC 27 T1N R78	6			0.00	9060	METES & BOUNDS 78 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	280	0	0										
R000035			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	118926200022		R000035	021																	 Subd: METES & BOUNDS 77 ALL 480AC +/- NW4,NW4NE4 SEC 26 E2NE4,SE4SW4NE4,N2SE4, SW4SE4,E2SE4SW4 SEC 27 E2NE4NW4,SW4NE4NW4, N2SE4NW4 SEC 34 ALL T3N R77W	5			0.00	9050	METES & BOUNDS 77 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	480	0	0										
R000115			UNITED STATES OF AMERICA		USDI, NATIONAL PARK SERVICE - RMNP	PO BOX 25287	DENVER	CO	80225-0287	107509100001		R000115	052																	 Subd: METES & BOUNDS 75 ALL 25693.50 AC+/- T4N R75W & R76W	4			0.00	9020	METES & BOUNDS 75 ALL													53.080000	9119	FEDERAL LAND									2015	10	0	10	0	25693.5	0	0										
R000079			UNITED STATES OF AMERICA		USDI, NATIONAL PARK SERVICE - RMNP	PO BOX 25287	DENVER	CO	80225-0287	082525200001		R000079	064																	 Subd: METES & BOUNDS 76 ALL 3426.12AC ALL T6N R76W ALL WITHIN GRAND COUNTY	4			0.00	9030	METES & BOUNDS 76 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	3426.12	0	0										
R000112			UNITED STATES OF AMERICA				WASHINGTON	DC	20013	133133100052		R000112	003																	 Subd: METES & BOUNDS 77 ALL LOTS 6-8 (S2SE4&SE4SW4) SEC 28 LOTS 1-4 (E2SE4,SW4SE4, SE4NE4) SEC 32, ALL SEC 33 T2N R77	5			0.00	9050	METES & BOUNDS 77 ALL													53.535000	9119	FEDERAL LAND									2015	10	0	10	0	240	0	0										
R000048			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	132516200001		R000048	064																	 Subd: METES & BOUNDS 74 ALL 18346.88+/-AC ALL T2N R74 WITHIN GRAND COUNTY	4			0.00	9010	METES & BOUNDS 74 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	18346.88	0	0										
R000109			NORTHERN COLORADO WATER CONSER DISTRICT			220 WATER AVE	BERTHOUD	CO	80513-9245	133126400029		R000109	003																	 Subd: METES & BOUNDS 77 ALL 274.55AC+/- PT OF SW4 LYING SWERLY OF US 40 SEC 25 PT OF S2 LYING NEERLY OF RR ROW SEC 26 PT N2 LYING NEERLY OF RR ROW AND SWERLY OF US 40 SEC 36 T2N R77	5			0.00	9050	METES & BOUNDS 77 ALL			0	10/14/1977		OPT						2012006121	53.535000	9149	POLITICAL SUBDIVISIONS									2015	10	0	10	0	274.55	0	0										
